player,runs_scored,ball_faced,4s,6s,outs,strike_rate,batting_average,wickets,balls_bowled,runs_conceded,economy,bowling_strike_rate
A Chopra,53.0,75.0,7.0,0.0,6.0,70.67,8.83,0.0,0.0,0.0,0.0,0.0
A Flintoff,62.0,57.0,5.0,2.0,2.0,108.77,31.0,2.0,66.0,105.0,0.27,33.0
A Kumble,35.0,49.0,3.0,0.0,3.0,71.43,11.67,49.0,983.0,1027.0,0.17,20.06
A Mishra,102.0,116.0,6.0,2.0,10.0,87.93,10.2,45.0,714.0,771.0,0.18,15.87
A Mithun,5.0,4.0,1.0,0.0,1.0,125.0,5.0,1.0,47.0,76.0,0.27,47.0
A Mukund,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,27.0,34.0,2.0,1.0,2.0,79.41,13.5,42.0,691.0,757.0,0.18,16.45
A Singh,1.0,3.0,0.0,0.0,1.0,33.33,1.0,9.0,107.0,93.0,0.14,11.89
A Symonds,839.0,638.0,65.0,38.0,23.0,131.5,36.48,22.0,516.0,615.0,0.2,23.45
A Uniyal,4.0,7.0,0.0,0.0,1.0,57.14,4.0,3.0,38.0,64.0,0.28,12.67
AA Bilakhia,69.0,88.0,5.0,0.0,5.0,78.41,13.8,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,183.0,172.0,16.0,4.0,9.0,106.4,20.33,0.0,39.0,67.0,0.29,0.0
AA Noffke,9.0,12.0,1.0,0.0,1.0,75.0,9.0,1.0,25.0,35.0,0.23,25.0
AB Agarkar,160.0,137.0,12.0,5.0,8.0,116.79,20.0,20.0,503.0,664.0,0.22,25.15
AB Barath,42.0,43.0,5.0,1.0,2.0,97.67,21.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,4.0,8.0,0.0,0.0,4.0,50.0,1.0,29.0,539.0,579.0,0.18,18.59
AB McDonald,68.0,58.0,3.0,2.0,1.0,117.24,68.0,8.0,103.0,159.0,0.26,12.88
AB de Villiers,671.0,582.0,51.0,13.0,21.0,115.29,31.95,0.0,0.0,0.0,0.0,0.0
AC Gilchrist,1220.0,865.0,136.0,64.0,45.0,141.04,27.11,0.0,0.0,0.0,0.0,0.0
AC Voges,181.0,143.0,15.0,3.0,4.0,126.57,45.25,1.0,56.0,74.0,0.22,56.0
AD Mascarenhas,60.0,58.0,4.0,1.0,6.0,103.45,10.0,12.0,189.0,224.0,0.2,15.75
AD Mathews,249.0,211.0,20.0,8.0,8.0,118.01,31.12,8.0,245.0,339.0,0.23,30.62
AG Paunikar,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,21.0,21.0,0.0,1.0,1.0,100.0,21.0,0.0,7.0,5.0,0.12,0.0
AM Nayar,457.0,348.0,34.0,18.0,19.0,131.32,24.05,5.0,120.0,146.0,0.2,24.0
AM Rahane,148.0,147.0,13.0,3.0,8.0,100.68,18.5,1.0,6.0,5.0,0.14,6.0
AN Ahmed,4.0,8.0,0.0,0.0,0.0,50.0,0.0,0.0,14.0,20.0,0.24,0.0
AN Ghosh,7.0,8.0,1.0,0.0,2.0,87.5,3.5,0.0,0.0,0.0,0.0,0.0
AP Dole,34.0,23.0,3.0,1.0,2.0,147.83,17.0,5.0,73.0,105.0,0.24,14.6
AP Tare,50.0,41.0,5.0,3.0,4.0,121.95,12.5,0.0,0.0,0.0,0.0,0.0
AS Raut,134.0,113.0,8.0,6.0,6.0,118.58,22.33,0.0,24.0,36.0,0.25,0.0
AS Yadav,49.0,40.0,5.0,2.0,5.0,122.5,9.8,0.0,0.0,0.0,0.0,0.0
AT Rayudu,356.0,258.0,34.0,13.0,13.0,137.98,27.38,0.0,0.0,0.0,0.0,0.0
Abdur Razzak,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,0.27,0.0
Anirudh Singh,63.0,69.0,6.0,1.0,4.0,91.3,15.75,0.0,0.0,0.0,0.0,0.0
B Akhil,63.0,48.0,5.0,4.0,5.0,131.25,12.6,7.0,180.0,215.0,0.2,25.71
B Chipli,20.0,30.0,3.0,0.0,3.0,66.67,6.67,0.0,0.0,0.0,0.0,0.0
B Lee,56.0,60.0,5.0,2.0,4.0,93.33,14.0,11.0,323.0,344.0,0.18,29.36
B Sumanth,35.0,38.0,3.0,0.0,1.0,92.11,35.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,1.0,2.0,0.0,0.0,1.0,50.0,1.0,7.0,176.0,217.0,0.21,25.14
BB McCullum,588.0,461.0,54.0,29.0,19.0,127.55,30.95,0.0,0.0,0.0,0.0,0.0
BJ Hodge,476.0,430.0,47.0,10.0,16.0,110.7,29.75,9.0,153.0,194.0,0.21,17.0
Bipul Sharma,9.0,7.0,1.0,0.0,0.0,128.57,0.0,4.0,60.0,94.0,0.26,15.0
C Madan,15.0,21.0,3.0,0.0,1.0,71.43,15.0,0.0,0.0,0.0,0.0,0.0
C Nanda,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0,55.0,0.18,25.0
CA Pujara,122.0,119.0,14.0,3.0,4.0,102.52,30.5,0.0,0.0,0.0,0.0,0.0
CH Gayle,476.0,356.0,48.0,26.0,16.0,133.71,29.75,5.0,221.0,270.0,0.2,44.2
CK Kapugedera,16.0,24.0,0.0,0.0,3.0,66.67,5.33,0.0,17.0,49.0,0.48,0.0
CK Langeveldt,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,95.0,98.0,0.17,11.88
CL White,162.0,138.0,11.0,7.0,9.0,117.39,18.0,0.0,14.0,40.0,0.48,0.0
CRD Fernando,4.0,3.0,0.0,0.0,0.0,133.33,0.0,19.0,249.0,279.0,0.19,13.11
D Kalyankrishna,3.0,8.0,0.0,0.0,1.0,37.5,3.0,2.0,50.0,85.0,0.28,25.0
D Salunkhe,33.0,24.0,5.0,0.0,2.0,137.5,16.5,1.0,51.0,70.0,0.23,51.0
D du Preez,10.0,13.0,0.0,0.0,1.0,76.92,10.0,4.0,43.0,55.0,0.21,10.75
DA Warner,445.0,332.0,43.0,19.0,17.0,134.04,26.18,0.0,0.0,0.0,0.0,0.0
DB Das,103.0,95.0,9.0,5.0,6.0,108.42,17.17,0.0,0.0,0.0,0.0,0.0
DB Ravi Teja,174.0,156.0,17.0,5.0,9.0,111.54,19.33,1.0,12.0,19.0,0.26,12.0
DE Bollinger,18.0,17.0,1.0,1.0,0.0,105.88,0.0,13.0,193.0,199.0,0.17,14.85
DJ Bravo,457.0,401.0,37.0,17.0,21.0,113.97,21.76,30.0,554.0,691.0,0.21,18.47
